Package name,Severity,Version,Fixed in version,Description,CVE ID,Source
binutils,MEDIUM,2.30-119.0.1.el8,2.30-119.0.2.el8_8.2,An illegal memory access flaw was found in the binutils package. Parsing an ELF file containing corrupt symbol version information may result in a denial of service. This issue is the result of an incomplete fix for CVE-2020-16599.,CVE-2022-4285,goelavdhesh123/student-service
binutils,LOW,2.30-119.0.1.el8,2.30-125.0.1.el8_10,"finish_stab in stabs.c in GNU Binutils 2.30 allows attackers to cause a denial of service (heap-based buffer overflow) or possibly have unspecified other impact, as demonstrated by an out-of-bounds write of 8 bytes. This can occur during execution of objdump.",CVE-2018-12699,goelavdhesh123/student-service
bzip2-libs,MEDIUM,1.0.6-26.el8,1.0.6-28.el8_10,BZ2_decompress in decompress.c in bzip2 through 1.0.6 has an out-of-bounds write when there are many selectors.,CVE-2019-12900,goelavdhesh123/student-service
curl,MEDIUM,7.61.1-30.el8_8.3,7.61.1-33.el8_9.5,"An information disclosure vulnerability exists in curl <v8.1.0 when doing HTTP(S) transfers, libcurl might erroneously use the read callback (`CURLOPT_READFUNCTION`) to ask for data to send, even when the `CURLOPT_POSTFIELDS` option has been set, if the same handle previously wasused to issue a `PUT` request which used that callback. This flaw may surprise the application and cause it to misbehave and either send off the wrong data or use memory after free or similar in the second transfer. The problem exists in the logic for a reused handle when it is (expected to be) changed from a PUT to a POST.",CVE-2023-28322,goelavdhesh123/student-service
curl,MEDIUM,7.61.1-30.el8_8.3,7.61.1-33.el8_9.5,"This flaw allows an attacker to insert cookies at will into a running program
using libcurl, if the specific series of conditions are met.

libcurl performs transfers. In its API, an application creates ""easy handles""
that are the individual handles for single transfers.

libcurl provides a function call that duplicates en easy handle called
[curl_easy_duphandle](https://curl.se/libcurl/c/curl_easy_duphandle.html).

If a transfer has cookies enabled when the handle is duplicated, the
cookie-enable state is also cloned - but without cloning the actual
cookies. If the source handle did not read any cookies from a specific file on
disk, the cloned version of the handle would instead store the file name as
`none` (using the four ASCII letters, no quotes).

Subsequent use of the cloned handle that does not explicitly set a source to
load cookies from would then inadvertently load cookies from a file named
`none` - if such a file exists and is readable in the current directory of the
program using libcurl. And if using the correct file format of course.",CVE-2023-38546,goelavdhesh123/student-service
curl,MEDIUM,7.61.1-30.el8_8.3,7.61.1-33.el8_9.5,"This flaw allows a malicious HTTP server to set ""super cookies"" in curl that
are then passed back to more origins than what is otherwise allowed or
possible. This allows a site to set cookies that then would get sent to
different and unrelated sites and domains.

It could do this by exploiting a mixed case flaw in curl's function that
verifies a given cookie domain against the Public Suffix List (PSL). For
example a cookie could be set with `domain=co.UK` when the URL used a lower
case hostname `curl.co.uk`, even though `co.uk` is listed as a PSL domain.",CVE-2023-46218,goelavdhesh123/student-service
curl,MEDIUM,7.61.1-30.el8_8.3,7.61.1-34.el8_10.2,"When an application tells libcurl it wants to allow HTTP/2 server push, and the amount of received headers for the push surpasses the maximum allowed limit (1000), libcurl aborts the server push. When aborting, libcurl inadvertently does not free all the previously allocated headers and instead leaks the memory.  Further, this error condition fails silently and is therefore not easily detected by an application.",CVE-2024-2398,goelavdhesh123/student-service
expat,MEDIUM,2.2.5-11.0.1.el8,2.2.5-11.0.1.el8_9.1,libexpat through 2.5.0 allows a denial of service (resource consumption) because many full reparsings are required in the case of a large token for which multiple buffer fills are needed.,CVE-2023-52425,goelavdhesh123/student-service
expat,MEDIUM,2.2.5-11.0.1.el8,2.2.5-15.0.1.el8_10,An issue was discovered in libexpat before 2.6.3. xmlparse.c does not reject a negative length for XML_ParseBuffer.,CVE-2024-45490,goelavdhesh123/student-service
expat,MEDIUM,2.2.5-11.0.1.el8,2.2.5-15.0.1.el8_10,An issue was discovered in libexpat before 2.6.3. dtdCopy in xmlparse.c can have an integer overflow for nDefaultAtts on 32-bit platforms (where UINT_MAX equals SIZE_MAX).,CVE-2024-45491,goelavdhesh123/student-service
